dataType: iteration-based
legend: [x,y,z,\theta_x,\theta_y,\theta_z]
    - [-470.992, 2.35498, -471, 0, 0, 1.57319]
    - [-471.992, 2.35998, -472, 0, 0, 1.56319]
    - [-472.992, 2.36498, -473, 0, 0, 1.55319]
    - [-473.992, 2.36998, -474, 0, 0, 1.54319]
    - [-474.992, 2.37498, -475, 0, 0, 1.53319]
    - [-475.992, 2.37998, -476, 0, 0, 1.52319]
    - [-476.992, 2.38498, -477, 0, 0, 1.51319]
    - [-477.992, 2.38998, -478, 0, 0, 1.50319]
    - [-478.992, 2.39498, -479, 0, 0, 1.49319]
    - [-479.992, 2.39998, -480, 0, 0, 1.48319]
    - [-480.992, 2.40498, -481, 0, 0, 1.47319]
    - [-481.992, 2.40998, -482, 0, 0, 1.46319]
    - [-482.992, 2.41498, -483, 0, 0, 1.45319]
    - [-483.992, 2.41998, -484, 0, 0, 1.44319]
    - [-484.992, 2.42498, -485, 0, 0, 1.43319]
    - [-485.992, 2.42998, -486, 0, 0, 1.42319]
    - [-486.992, 2.43498, -487, 0, 0, 1.41319]
    - [-487.992, 2.43998, -488, 0, 0, 1.40319]
    - [-488.992, 2.44498, -489, 0, 0, 1.39319]
    - [-489.992, 2.44998, -490, 0, 0, 1.38319]
    - [-490.992, 2.45498, -491, 0, 0, 1.37319]
    - [-491.992, 2.45998, -492, 0, 0, 1.36319]
    - [-492.992, 2.46498, -493, 0, 0, 1.35319]
    - [-493.992, 2.46998, -494, 0, 0, 1.34319]
    - [-494.992, 2.47498, -495, 0, 0, 1.33319]
    - [-495.992, 2.47998, -496, 0, 0, 1.32319]
    - [-496.992, 2.48498, -497, 0, 0, 1.31319]
    - [-497.992, 2.48998, -498, 0, 0, 1.30319]
    - [-498.992, 2.49498, -499, 0, 0, 1.29319]
    - [-499.992, 2.49998, -500, 0, 0, 1.28319]
    - [-500.992, 2.50498, -501, 0, 0, 1.27319]
    - [-501.992, 2.50998, -502, 0, 0, 1.26319]
    - [-502.992, 2.51498, -503, 0, 0, 1.25319]
    - [-503.992, 2.51998, -504, 0, 0, 1.24319]
    - [-504.992, 2.52498, -505, 0, 0, 1.23319]
    - [-505.992, 2.52998, -506, 0, 0, 1.22319]
    - [-506.992, 2.53498, -507, 0, 0, 1.21319]
    - [-507.992, 2.53998, -508, 0, 0, 1.20319]
    - [-508.992, 2.54498, -509, 0, 0, 1.19319]
    - [-509.992, 2.54998, -510, 0, 0, 1.18319]
    - [-510.991, 2.55498, -511, 0, 0, 1.17319]
    - [-511.991, 2.55998, -512, 0, 0, 1.16319]
    - [-512.991, 2.56498, -513, 0, 0, 1.15319]
    - [-513.991, 2.56998, -514, 0, 0, 1.14319]
    - [-514.991, 2.57498, -515, 0, 0, 1.13319]
    - [-515.991, 2.57998, -516, 0, 0, 1.12319]
    - [-516.991, 2.58498, -517, 0, 0, 1.11319]
    - [-517.991, 2.58998, -518, 0, 0, 1.10319]
    - [-518.991, 2.59498, -519, 0, 0, 1.09319]
    - [-519.991, 2.59998, -520, 0, 0, 1.08319]
    - [-520.991, 2.60498, -521, 0, 0, 1.07319]
    - [-521.991, 2.60998, -522, 0, 0, 1.06319]
    - [-522.991, 2.61498, -523, 0, 0, 1.05319]
    - [-523.991, 2.61998, -524, 0, 0, 1.04319]
    - [-524.991, 2.62498, -525, 0, 0, 1.03319]
    - [-525.991, 2.62998, -526, 0, 0, 1.02319]
    - [-526.991, 2.63498, -527, 0, 0, 1.01319]
    - [-527.991, 2.63998, -528, 0, 0, 1.00319]
    - [-528.991, 2.64498, -529, 0, 0, 0.993185]
    - [-529.991, 2.64998, -530, 0, 0, 0.983185]
    - [-530.991, 2.65498, -531, 0, 0, 0.973185]
    - [-531.991, 2.65998, -532, 0, 0, 0.963185]
    - [-532.991, 2.66498, -533, 0, 0, 0.953185]
    - [-533.991, 2.66998, -534, 0, 0, 0.943185]
    - [-534.991, 2.67498, -535, 0, 0, 0.933185]
    - [-535.991, 2.67998, -536, 0, 0, 0.923185]
    - [-536.991, 2.68498, -537, 0, 0, 0.913185]
    - [-537.991, 2.68998, -538, 0, 0, 0.903185]
    - [-538.991, 2.69498, -539, 0, 0, 0.893185]
    - [-539.991, 2.69998, -540, 0, 0, 0.883185]
    - [-540.991, 2.70498, -541, 0, 0, 0.873185]
    - [-541.991, 2.70998, -542, 0, 0, 0.863185]
    - [-542.991, 2.71498, -543, 0, 0, 0.853185]
    - [-543.991, 2.71998, -544, 0, 0, 0.843185]
    - [-544.991, 2.72498, -545, 0, 0, 0.833185]
    - [-545.991, 2.72998, -546, 0, 0, 0.823185]
    - [-546.991, 2.73498, -547, 0, 0, 0.813185]
    - [-547.991, 2.73998, -548, 0, 0, 0.803185]
    - [-548.991, 2.74498, -549, 0, 0, 0.793185]
    - [-549.991, 2.74998, -550, 0, 0, 0.783185]
    - [-550.991, 2.75498, -551, 0, 0, 0.773185]
    - [-551.991, 2.75998, -552, 0, 0, 0.763185]
    - [-552.991, 2.76498, -553, 0, 0, 0.753185]
    - [-553.991, 2.76998, -554, 0, 0, 0.743185]
    - [-554.991, 2.77498, -555, 0, 0, 0.733185]
    - [-555.991, 2.77998, -556, 0, 0, 0.723185]
    - [-556.991, 2.78498, -557, 0, 0, 0.713185]
    - [-557.991, 2.78998, -558, 0, 0, 0.703185]
    - [-558.991, 2.79498, -559, 0, 0, 0.693185]
    - [-559.991, 2.79998, -560, 0, 0, 0.683185]
    - [-560.991, 2.80498, -561, 0, 0, 0.673185]
    - [-561.991, 2.80998, -562, 0, 0, 0.663185]
    - [-562.991, 2.81498, -563, 0, 0, 0.653185]
    - [-563.991, 2.81998, -564, 0, 0, 0.643185]
    - [-564.991, 2.82498, -565, 0, 0, 0.633185]
    - [-565.991, 2.82998, -566, 0, 0, 0.623185]
    - [-566.991, 2.83498, -567, 0, 0, 0.613185]
    - [-567.991, 2.83998, -568, 0, 0, 0.603185]
    - [-568.991, 2.84498, -569, 0, 0, 0.593185]
    - [-569.991, 2.84998, -570, 0, 0, 0.583185]
    - [-570.99, 2.85498, -571, 0, 0, 0.573185]
    - [-571.99, 2.85998, -572, 0, 0, 0.563185]
    - [-572.99, 2.86498, -573, 0, 0, 0.553185]
    - [-573.99, 2.86998, -574, 0, 0, 0.543185]
    - [-574.99, 2.87498, -575, 0, 0, 0.533185]
    - [-575.99, 2.87998, -576, 0, 0, 0.523185]
    - [-576.99, 2.88498, -577, 0, 0, 0.513185]
    - [-577.99, 2.88998, -578, 0, 0, 0.503185]
    - [-578.99, 2.89498, -579, 0, 0, 0.493185]
    - [-579.99, 2.89998, -580, 0, 0, 0.483185]
    - [-580.99, 2.90498, -581, 0, 0, 0.473185]
    - [-581.99, 2.90998, -582, 0, 0, 0.463185]
    - [-582.99, 2.91498, -583, 0, 0, 0.453185]
    - [-583.99, 2.91998, -584, 0, 0, 0.443185]
    - [-584.99, 2.92498, -585, 0, 0, 0.433185]
    - [-585.99, 2.92998, -586, 0, 0, 0.423185]
    - [-586.99, 2.93498, -587, 0, 0, 0.413185]
    - [-587.99, 2.93998, -588, 0, 0, 0.403185]
    - [-588.99, 2.94498, -589, 0, 0, 0.393185]
    - [-589.99, 2.94998, -590, 0, 0, 0.383185]
    - [-590.99, 2.95498, -591, 0, 0, 0.373185]
    - [-591.99, 2.95998, -592, 0, 0, 0.363185]
    - [-592.99, 2.96498, -593, 0, 0, 0.353185]
    - [-593.99, 2.96998, -594, 0, 0, 0.343185]
    - [-594.99, 2.97498, -595, 0, 0, 0.333185]
    - [-595.99, 2.97998, -596, 0, 0, 0.323185]
    - [-596.99, 2.98498, -597, 0, 0, 0.313185]
    - [-597.99, 2.98998, -598, 0, 0, 0.303185]
    - [-598.99, 2.99498, -599, 0, 0, 0.293185]
    - [-599.99, 2.99998, -600, 0, 0, 0.283185]
    - [-600.99, 3.00497, -601, 0, 0, 0.273185]
    - [-601.99, 3.00997, -602, 0, 0, 0.263185]
    - [-602.99, 3.01497, -603, 0, 0, 0.253185]
    - [-603.99, 3.01997, -604, 0, 0, 0.243185]
    - [-604.99, 3.02497, -605, 0, 0, 0.233185]
    - [-605.99, 3.02997, -606, 0, 0, 0.223185]
    - [-606.99, 3.03497, -607, 0, 0, 0.213185]
    - [-607.99, 3.03997, -608, 0, 0, 0.203185]
    - [-608.99, 3.04497, -609, 0, 0, 0.193185]
    - [-609.99, 3.04997, -610, 0, 0, 0.183185]
    - [-610.99, 3.05497, -611, 0, 0, 0.173185]
    - [-611.99, 3.05997, -612, 0, 0, 0.163185]
    - [-612.99, 3.06497, -613, 0, 0, 0.153185]
    - [-613.99, 3.06997, -614, 0, 0, 0.143185]
    - [-614.99, 3.07497, -615, 0, 0, 0.133185]
    - [-615.99, 3.07997, -616, 0, 0, 0.123185]
    - [-616.99, 3.08497, -617, 0, 0, 0.113185]
    - [-617.99, 3.08997, -618, 0, 0, 0.103185]
    - [-618.99, 3.09497, -619, 0, 0, 0.0931853]
    - [-619.99, 3.09997, -620, 0, 0, 0.0831853]
    - [-620.99, 3.10497, -621, 0, 0, 0.0731853]
    - [-621.99, 3.10997, -622, 0, 0, 0.0631853]
    - [-622.99, 3.11497, -623, 0, 0, 0.0531853]
    - [-623.99, 3.11997, -624, 0, 0, 0.0431853]
    - [-624.99, 3.12497, -625, 0, 0, 0.0331853]
    - [-625.99, 3.12997, -626, 0, 0, 0.0231853]
    - [-626.99, 3.13497, -627, 0, 0, 0.0131853]
    - [-627.99, 3.13997, -628, 0, 0, 0.00318531]
    - [-628.99, 3.14497, -629, 0, 0, -0.00681469]
    - [-629.99, 3.14997, -630, 0, 0, -0.0168147]
    - [-630.989, 3.15497, -631, 0, 0, -0.0268147]
    - [-631.989, 3.15997, -632, 0, 0, -0.0368147]
    - [-632.989, 3.16497, -633, 0, 0, -0.0468147]
    - [-633.989, 3.16997, -634, 0, 0, -0.0568147]
    - [-634.989, 3.17497, -635, 0, 0, -0.0668147]
    - [-635.989, 3.17997, -636, 0, 0, -0.0768147]
    - [-636.989, 3.18497, -637, 0, 0, -0.0868147]
    - [-637.989, 3.18997, -638, 0, 0, -0.0968147]
    - [-638.989, 3.19497, -639, 0, 0, -0.106815]
    - [-639.989, 3.19997, -640, 0, 0, -0.116815]
    - [-640.989, 3.20497, -641, 0, 0, -0.126815]
    - [-641.989, 3.20997, -642, 0, 0, -0.136815]
    - [-642.989, 3.21497, -643, 0, 0, -0.146815]
    - [-643.989, 3.21997, -644, 0, 0, -0.156815]
    - [-644.989, 3.22497, -645, 0, 0, -0.166815]
    - [-645.989, 3.22997, -646, 0, 0, -0.176815]
    - [-646.989, 3.23497, -647, 0, 0, -0.186815]
    - [-647.989, 3.23997, -648, 0, 0, -0.196815]
    - [-648.989, 3.24497, -649, 0, 0, -0.206815]
    - [-649.989, 3.24997, -650, 0, 0, -0.216815]
    - [-650.989, 3.25497, -651, 0, 0, -0.226815]
    - [-651.989, 3.25997, -652, 0, 0, -0.236815]
    - [-652.989, 3.26497, -653, 0, 0, -0.246815]
    - [-653.989, 3.26997, -654, 0, 0, -0.256815]
    - [-654.989, 3.27497, -655, 0, 0, -0.266815]
    - [-655.989, 3.27997, -656, 0, 0, -0.276815]
    - [-656.989, 3.28497, -657, 0, 0, -0.286815]
    - [-657.989, 3.28997, -658, 0, 0, -0.296815]
    - [-658.989, 3.29497, -659, 0, 0, -0.306815]
    - [-659.989, 3.29997, -660, 0, 0, -0.316815]
    - [-660.989, 3.30497, -661, 0, 0, -0.326815]
    - [-661.989, 3.30997, -662, 0, 0, -0.336815]
    - [-662.989, 3.31497, -663, 0, 0, -0.346815]
    - [-663.989, 3.31997, -664, 0, 0, -0.356815]
    - [-664.989, 3.32497, -665, 0, 0, -0.366815]
    - [-665.989, 3.32997, -666, 0, 0, -0.376815]
    - [-666.989, 3.33497, -667, 0, 0, -0.386815]
    - [-667.989, 3.33997, -668, 0, 0, -0.396815]
    - [-668.989, 3.34497, -669, 0, 0, -0.406815]
    - [-669.989, 3.34997, -670, 0, 0, -0.416815]
    - [-670.989, 3.35497, -671, 0, 0, -0.426815]
    - [-671.989, 3.35997, -672, 0, 0, -0.436815]
    - [-672.989, 3.36497, -673, 0, 0, -0.446815]
    - [-673.989, 3.36997, -674, 0, 0, -0.456815]
    - [-674.989, 3.37497, -675, 0, 0, -0.466815]
    - [-675.989, 3.37997, -676, 0, 0, -0.476815]
    - [-676.989, 3.38497, -677, 0, 0, -0.486815]
    - [-677.989, 3.38997, -678, 0, 0, -0.496815]
    - [-678.989, 3.39497, -679, 0, 0, -0.506815]
    - [-679.989, 3.39997, -680, 0, 0, -0.516815]
    - [-680.989, 3.40497, -681, 0, 0, -0.526815]
    - [-681.989, 3.40997, -682, 0, 0, -0.536815]
    - [-682.989, 3.41497, -683, 0, 0, -0.546815]
    - [-683.989, 3.41997, -684, 0, 0, -0.556815]
    - [-684.989, 3.42497, -685, 0, 0, -0.566815]
    - [-685.989, 3.42997, -686, 0, 0, -0.576815]
    - [-686.989, 3.43497, -687, 0, 0, -0.586815]
    - [-687.989, 3.43997, -688, 0, 0, -0.596815]
    - [-688.989, 3.44497, -689, 0, 0, -0.606815]
    - [-689.989, 3.44997, -690, 0, 0, -0.616815]
    - [-690.988, 3.45497, -691, 0, 0, -0.626815]
    - [-691.988, 3.45997, -692, 0, 0, -0.636815]
    - [-692.988, 3.46497, -693, 0, 0, -0.646815]
    - [-693.988, 3.46997, -694, 0, 0, -0.656815]
    - [-694.988, 3.47497, -695, 0, 0, -0.666815]
    - [-695.988, 3.47997, -696, 0, 0, -0.676815]
    - [-696.988, 3.48497, -697, 0, 0, -0.686815]
    - [-697.988, 3.48997, -698, 0, 0, -0.696815]
    - [-698.988, 3.49497, -699, 0, 0, -0.706815]
    - [-699.988, 3.49997, -700, 0, 0, -0.716815]
    - [-700.988, 3.50497, -701, 0, 0, -0.726815]
    - [-701.988, 3.50997, -702, 0, 0, -0.736815]
    - [-702.988, 3.51497, -703, 0, 0, -0.746815]
    - [-703.988, 3.51997, -704, 0, 0, -0.756815]
    - [-704.988, 3.52497, -705, 0, 0, -0.766815]
    - [-705.988, 3.52997, -706, 0, 0, -0.776815]
    - [-706.988, 3.53497, -707, 0, 0, -0.786815]
    - [-707.988, 3.53997, -708, 0, 0, -0.796815]
    - [-708.988, 3.54497, -709, 0, 0, -0.806815]
    - [-709.988, 3.54997, -710, 0, 0, -0.816815]
    - [-710.988, 3.55497, -711, 0, 0, -0.826815]
    - [-711.988, 3.55997, -712, 0, 0, -0.836815]
    - [-712.988, 3.56497, -713, 0, 0, -0.846815]
    - [-713.988, 3.56997, -714, 0, 0, -0.856815]
    - [-714.988, 3.57497, -715, 0, 0, -0.866815]
    - [-715.988, 3.57997, -716, 0, 0, -0.876815]
    - [-716.988, 3.58497, -717, 0, 0, -0.886815]
    - [-717.988, 3.58997, -718, 0, 0, -0.896815]
    - [-718.988, 3.59497, -719, 0, 0, -0.906815]
    - [-719.988, 3.59997, -720, 0, 0, -0.916815]
    - [-720.988, 3.60497, -721, 0, 0, -0.926815]
    - [-721.988, 3.60997, -722, 0, 0, -0.936815]
    - [-722.988, 3.61497, -723, 0, 0, -0.946815]
    - [-723.988, 3.61997, -724, 0, 0, -0.956815]
    - [-724.988, 3.62497, -725, 0, 0, -0.966815]
    - [-725.988, 3.62997, -726, 0, 0, -0.976815]
    - [-726.988, 3.63497, -727, 0, 0, -0.986815]
    - [-727.988, 3.63997, -728, 0, 0, -0.996815]
    - [-728.988, 3.64497, -729, 0, 0, -1.00681]
    - [-729.988, 3.64997, -730, 0, 0, -1.01681]
    - [-730.988, 3.65497, -731, 0, 0, -1.02681]
    - [-731.988, 3.65997, -732, 0, 0, -1.03681]
    - [-732.988, 3.66497, -733, 0, 0, -1.04681]
    - [-733.988, 3.66997, -734, 0, 0, -1.05681]
    - [-734.988, 3.67497, -735, 0, 0, -1.06681]
    - [-735.988, 3.67997, -736, 0, 0, -1.07681]
    - [-736.988, 3.68497, -737, 0, 0, -1.08681]
    - [-737.988, 3.68997, -738, 0, 0, -1.09681]
    - [-738.988, 3.69497, -739, 0, 0, -1.10681]
    - [-739.988, 3.69997, -740, 0, 0, -1.11681]
    - [-740.988, 3.70497, -741, 0, 0, -1.12681]
    - [-741.988, 3.70997, -742, 0, 0, -1.13681]
    - [-742.988, 3.71497, -743, 0, 0, -1.14681]
    - [-743.988, 3.71997, -744, 0, 0, -1.15681]
    - [-744.988, 3.72497, -745, 0, 0, -1.16681]
    - [-745.988, 3.72997, -746, 0, 0, -1.17681]
    - [-746.988, 3.73497, -747, 0, 0, -1.18681]
    - [-747.988, 3.73997, -748, 0, 0, -1.19681]
    - [-748.988, 3.74497, -749, 0, 0, -1.20681]
    - [-749.988, 3.74997, -750, 0, 0, -1.21681]
    - [-750.987, 3.75497, -751, 0, 0, -1.22681]
    - [-751.987, 3.75997, -752, 0, 0, -1.23681]
    - [-752.987, 3.76497, -753, 0, 0, -1.24681]
    - [-753.987, 3.76997, -754, 0, 0, -1.25681]
    - [-754.987, 3.77497, -755, 0, 0, -1.26681]
    - [-755.987, 3.77997, -756, 0, 0, -1.27681]
    - [-756.987, 3.78497, -757, 0, 0, -1.28681]
    - [-757.987, 3.78997, -758, 0, 0, -1.29681]
    - [-758.987, 3.79497, -759, 0, 0, -1.30681]
    - [-759.987, 3.79997, -760, 0, 0, -1.31681]
    - [-760.987, 3.80497, -761, 0, 0, -1.32681]
    - [-761.987, 3.80997, -762, 0, 0, -1.33681]
    - [-762.987, 3.81497, -763, 0, 0, -1.34681]
    - [-763.987, 3.81997, -764, 0, 0, -1.35681]
    - [-764.987, 3.82497, -765, 0, 0, -1.36681]
    - [-765.987, 3.82997, -766, 0, 0, -1.37681]
    - [-766.987, 3.83497, -767, 0, 0, -1.38681]
    - [-767.987, 3.83997, -768, 0, 0, -1.39681]
    - [-768.987, 3.84497, -769, 0, 0, -1.40681]
    - [-769.987, 3.84997, -770, 0, 0, -1.41681]
    - [-770.987, 3.85497, -771, 0, 0, -1.42681]
    - [-771.987, 3.85997, -772, 0, 0, -1.43681]
    - [-772.987, 3.86497, -773, 0, 0, -1.44681]
    - [-773.987, 3.86997, -774, 0, 0, -1.45681]
    - [-774.987, 3.87497, -775, 0, 0, -1.46681]
    - [-775.987, 3.87997, -776, 0, 0, -1.47681]
    - [-776.987, 3.88497, -777, 0, 0, -1.48681]
    - [-777.987, 3.88997, -778, 0, 0, -1.49681]
    - [-778.987, 3.89497, -779, 0, 0, -1.50681]
    - [-779.987, 3.89997, -780, 0, 0, -1.51681]
    - [-780.987, 3.90497, -781, 0, 0, -1.52681]
    - [-781.987, 3.90997, -782, 0, 0, -1.53681]
    - [-782.987, 3.91497, -783, 0, 0, -1.54681]
    - [-783.987, 3.91997, -784, 0, 0, -1.55681]
    - [-784.987, 3.92497, -785, 0, 0, -1.56681]
    - [-785.987, 3.92997, -786, 0, 0, -1.57681]
    - [-786.987, 3.93497, -787, 0, 0, -1.58681]
    - [-787.987, 3.93997, -788, 0, 0, -1.59681]
    - [-788.987, 3.94497, -789, 0, 0, -1.60681]
    - [-789.987, 3.94997, -790, 0, 0, -1.61681]
    - [-790.987, 3.95497, -791, 0, 0, -1.62681]
    - [-791.987, 3.95997, -792, 0, 0, -1.63681]
    - [-792.987, 3.96497, -793, 0, 0, -1.64681]
    - [-793.987, 3.96997, -794, 0, 0, -1.65681]
    - [-794.987, 3.97497, -795, 0, 0, -1.66681]
    - [-795.987, 3.97997, -796, 0, 0, -1.67681]
    - [-796.987, 3.98497, -797, 0, 0, -1.68681]
    - [-797.987, 3.98997, -798, 0, 0, -1.69681]
    - [-798.987, 3.99497, -799, 0, 0, -1.70681]
    - [-799.987, 3.99997, -800, 0, 0, -1.71681]
    - [-800.987, 4.00497, -801, 0, 0, -1.72681]
    - [-801.987, 4.00997, -802, 0, 0, -1.73681]
    - [-802.987, 4.01497, -803, 0, 0, -1.74681]
    - [-803.987, 4.01997, -804, 0, 0, -1.75681]
    - [-804.987, 4.02497, -805, 0, 0, -1.76681]
    - [-805.987, 4.02997, -806, 0, 0, -1.77681]
    - [-806.987, 4.03497, -807, 0, 0, -1.78681]
    - [-807.987, 4.03997, -808, 0, 0, -1.79681]
    - [-808.987, 4.04497, -809, 0, 0, -1.80681]
    - [-809.987, 4.04997, -810, 0, 0, -1.81681]
    - [-810.986, 4.05497, -811, 0, 0, -1.82681]
    - [-811.986, 4.05997, -812, 0, 0, -1.83681]
    - [-812.986, 4.06497, -813, 0, 0, -1.84681]
    - [-813.986, 4.06997, -814, 0, 0, -1.85681]
    - [-814.986, 4.07497, -815, 0, 0, -1.86681]
    - [-815.986, 4.07997, -816, 0, 0, -1.87681]
    - [-816.986, 4.08497, -817, 0, 0, -1.88681]
    - [-817.986, 4.08997, -818, 0, 0, -1.89681]
    - [-818.986, 4.09497, -819, 0, 0, -1.90681]
    - [-819.986, 4.09997, -820, 0, 0, -1.91681]
    - [-820.986, 4.10497, -821, 0, 0, -1.92681]
    - [-821.986, 4.10997, -822, 0, 0, -1.93681]
    - [-822.986, 4.11497, -823, 0, 0, -1.94681]
    - [-823.986, 4.11997, -824, 0, 0, -1.95681]
    - [-824.986, 4.12497, -825, 0, 0, -1.96681]
    - [-825.986, 4.12997, -826, 0, 0, -1.97681]
    - [-826.986, 4.13497, -827, 0, 0, -1.98681]
    - [-827.986, 4.13997, -828, 0, 0, -1.99681]
    - [-828.986, 4.14497, -829, 0, 0, -2.00681]
    - [-829.986, 4.14997, -830, 0, 0, -2.01681]
    - [-830.986, 4.15497, -831, 0, 0, -2.02681]
    - [-831.986, 4.15997, -832, 0, 0, -2.03681]
    - [-832.986, 4.16497, -833, 0, 0, -2.04681]
    - [-833.986, 4.16997, -834, 0, 0, -2.05681]
    - [-834.986, 4.17497, -835, 0, 0, -2.06681]
    - [-835.986, 4.17997, -836, 0, 0, -2.07681]
    - [-836.986, 4.18497, -837, 0, 0, -2.08681]
    - [-837.986, 4.18997, -838, 0, 0, -2.09681]
    - [-838.986, 4.19497, -839, 0, 0, -2.10681]
    - [-839.986, 4.19997, -840, 0, 0, -2.11681]
    - [-840.986, 4.20496, -841, 0, 0, -2.12681]
    - [-841.986, 4.20996, -842, 0, 0, -2.13681]
    - [-842.986, 4.21496, -843, 0, 0, -2.14681]
    - [-843.986, 4.21996, -844, 0, 0, -2.15681]
    - [-844.986, 4.22496, -845, 0, 0, -2.16681]
    - [-845.986, 4.22996, -846, 0, 0, -2.17681]
    - [-846.986, 4.23496, -847, 0, 0, -2.18681]
    - [-847.986, 4.23996, -848, 0, 0, -2.19681]
    - [-848.986, 4.24496, -849, 0, 0, -2.20681]
    - [-849.986, 4.24996, -850, 0, 0, -2.21681]
    - [-850.986, 4.25496, -851, 0, 0, -2.22681]
    - [-851.986, 4.25996, -852, 0, 0, -2.23681]
    - [-852.986, 4.26496, -853, 0, 0, -2.24681]
    - [-853.986, 4.26996, -854, 0, 0, -2.25681]
    - [-854.986, 4.27496, -855, 0, 0, -2.26681]
    - [-855.986, 4.27996, -856, 0, 0, -2.27681]
    - [-856.986, 4.28496, -857, 0, 0, -2.28681]
    - [-857.986, 4.28996, -858, 0, 0, -2.29681]
    - [-858.986, 4.29496, -859, 0, 0, -2.30681]
    - [-859.986, 4.29996, -860, 0, 0, -2.31681]
    - [-860.986, 4.30496, -861, 0, 0, -2.32681]
    - [-861.986, 4.30996, -862, 0, 0, -2.33681]
    - [-862.986, 4.31496, -863, 0, 0, -2.34681]
    - [-863.986, 4.31996, -864, 0, 0, -2.35681]
    - [-864.986, 4.32496, -865, 0, 0, -2.36681]
    - [-865.986, 4.32996, -866, 0, 0, -2.37681]
    - [-866.986, 4.33496, -867, 0, 0, -2.38681]
    - [-867.986, 4.33996, -868, 0, 0, -2.39681]
    - [-868.986, 4.34496, -869, 0, 0, -2.40681]
    - [-869.986, 4.34996, -870, 0, 0, -2.41681]
    - [-870.985, 4.35496, -871, 0, 0, -2.42681]
    - [-871.985, 4.35996, -872, 0, 0, -2.43681]
    - [-872.985, 4.36496, -873, 0, 0, -2.44681]
    - [-873.985, 4.36996, -874, 0, 0, -2.45681]
    - [-874.985, 4.37496, -875, 0, 0, -2.46681]
    - [-875.985, 4.37996, -876, 0, 0, -2.47681]
    - [-876.985, 4.38496, -877, 0, 0, -2.48681]
    - [-877.985, 4.38996, -878, 0, 0, -2.49681]
    - [-878.985, 4.39496, -879, 0, 0, -2.50681]
    - [-879.985, 4.39996, -880, 0, 0, -2.51681]
    - [-880.985, 4.40496, -881, 0, 0, -2.52681]
    - [-881.985, 4.40996, -882, 0, 0, -2.53681]
    - [-882.985, 4.41496, -883, 0, 0, -2.54681]
    - [-883.985, 4.41996, -884, 0, 0, -2.55681]
    - [-884.985, 4.42496, -885, 0, 0, -2.56681]
    - [-885.985, 4.42996, -886, 0, 0, -2.57681]
    - [-886.985, 4.43496, -887, 0, 0, -2.58681]
    - [-887.985, 4.43996, -888, 0, 0, -2.59681]
    - [-888.985, 4.44496, -889, 0, 0, -2.60681]
    - [-889.985, 4.44996, -890, 0, 0, -2.61681]
    - [-890.985, 4.45496, -891, 0, 0, -2.62681]
    - [-891.985, 4.45996, -892, 0, 0, -2.63681]
    - [-892.985, 4.46496, -893, 0, 0, -2.64681]
    - [-893.985, 4.46996, -894, 0, 0, -2.65681]
    - [-894.985, 4.47496, -895, 0, 0, -2.66681]
    - [-895.985, 4.47996, -896, 0, 0, -2.67681]
    - [-896.985, 4.48496, -897, 0, 0, -2.68681]
    - [-897.985, 4.48996, -898, 0, 0, -2.69681]
    - [-898.985, 4.49496, -899, 0, 0, -2.70681]
    - [-899.985, 4.49996, -900, 0, 0, -2.71681]
    - [-900.985, 4.50496, -901, 0, 0, -2.72681]
    - [-901.985, 4.50996, -902, 0, 0, -2.73681]
    - [-902.985, 4.51496, -903, 0, 0, -2.74681]
    - [-903.985, 4.51996, -904, 0, 0, -2.75681]
    - [-904.985, 4.52496, -905, 0, 0, -2.76681]
    - [-905.985, 4.52996, -906, 0, 0, -2.77681]
    - [-906.985, 4.53496, -907, 0, 0, -2.78681]
    - [-907.985, 4.53996, -908, 0, 0, -2.79681]
    - [-908.985, 4.54496, -909, 0, 0, -2.80681]
    - [-909.985, 4.54996, -910, 0, 0, -2.81681]
    - [-910.985, 4.55496, -911, 0, 0, -2.82681]
    - [-911.985, 4.55996, -912, 0, 0, -2.83681]
    - [-912.985, 4.56496, -913, 0, 0, -2.84681]
    - [-913.985, 4.56996, -914, 0, 0, -2.85681]
    - [-914.985, 4.57496, -915, 0, 0, -2.86681]
    - [-915.985, 4.57996, -916, 0, 0, -2.87681]
    - [-916.985, 4.58496, -917, 0, 0, -2.88681]
    - [-917.985, 4.58996, -918, 0, 0, -2.89681]
    - [-918.985, 4.59496, -919, 0, 0, -2.90681]
    - [-919.985, 4.59996, -920, 0, 0, -2.91681]
    - [-920.985, 4.60496, -921, 0, 0, -2.92681]
    - [-921.985, 4.60996, -922, 0, 0, -2.93681]
    - [-922.985, 4.61496, -923, 0, 0, -2.94681]
    - [-923.985, 4.61996, -924, 0, 0, -2.95681]
    - [-924.985, 4.62496, -925, 0, 0, -2.96681]
    - [-925.985, 4.62996, -926, 0, 0, -2.97681]
    - [-926.985, 4.63496, -927, 0, 0, -2.98681]
    - [-927.985, 4.63996, -928, 0, 0, -2.99681]
    - [-928.985, 4.64496, -929, 0, 0, -3.00681]
    - [-929.985, 4.64996, -930, 0, 0, -3.01681]
    - [-930.984, 4.65496, -931, 0, 0, -3.02681]
    - [-931.984, 4.65996, -932, 0, 0, -3.03681]
    - [-932.984, 4.66496, -933, 0, 0, -3.04681]
    - [-933.984, 4.66996, -934, 0, 0, -3.05681]
