dataType: iteration-based
legend: [v_x,v_y,v_z,\omega_x,\omega_y,\omega_z]
    - [-0.052365, -0.998628, 1, 0, 0, 0.01]
    - [-0.0423763, -0.999102, 1, 0, 0, 0.01]
    - [-0.0323833, -0.999476, 1, 0, 0, 0.01]
    - [-0.0223871, -0.999749, 1, 0, 0, 0.01]
    - [-0.0123887, -0.999923, 1, 0, 0, 0.01]
    - [-0.00238898, -0.999997, 1, 0, 0, 0.01]
    - [0.00761095, -0.999971, 1, 0, 0, 0.01]
    - [0.0176101, -0.999845, 1, 0, 0, 0.01]
    - [0.0276075, -0.999619, 1, 0, 0, 0.01]
    - [0.0376022, -0.999293, 1, 0, 0, 0.01]
    - [0.047593, -0.998867, 1, 0, 0, 0.01]
    - [0.0575792, -0.998341, 1, 0, 0, 0.01]
    - [0.0675595, -0.997715, 1, 0, 0, 0.01]
    - [0.0775331, -0.99699, 1, 0, 0, 0.01]
    - [0.087499, -0.996165, 1, 0, 0, 0.01]
    - [0.0974561, -0.99524, 1, 0, 0, 0.01]
    - [0.107403, -0.994216, 1, 0, 0, 0.01]
    - [0.11734, -0.993092, 1, 0, 0, 0.01]
    - [0.127265, -0.991869, 1, 0, 0, 0.01]
    - [0.137177, -0.990547, 1, 0, 0, 0.01]
    - [0.147076, -0.989125, 1, 0, 0, 0.01]
    - [0.156959, -0.987605, 1, 0, 0, 0.01]
    - [0.166827, -0.985986, 1, 0, 0, 0.01]
    - [0.176679, -0.984269, 1, 0, 0, 0.01]
    - [0.186512, -0.982453, 1, 0, 0, 0.01]
    - [0.196327, -0.980538, 1, 0, 0, 0.01]
    - [0.206123, -0.978526, 1, 0, 0, 0.01]
    - [0.215898, -0.976416, 1, 0, 0, 0.01]
    - [0.225651, -0.974208, 1, 0, 0, 0.01]
    - [0.235381, -0.971903, 1, 0, 0, 0.01]
    - [0.245089, -0.969501, 1, 0, 0, 0.01]
    - [0.254771, -0.967001, 1, 0, 0, 0.01]
    - [0.264428, -0.964405, 1, 0, 0, 0.01]
    - [0.274059, -0.961713, 1, 0, 0, 0.01]
    - [0.283662, -0.958924, 1, 0, 0, 0.01]
    - [0.293237, -0.95604, 1, 0, 0, 0.01]
    - [0.302783, -0.95306, 1, 0, 0, 0.01]
    - [0.312298, -0.949984, 1, 0, 0, 0.01]
    - [0.321782, -0.946814, 1, 0, 0, 0.01]
    - [0.331234, -0.943549, 1, 0, 0, 0.01]
    - [0.340653, -0.940189, 1, 0, 0, 0.01]
    - [0.350037, -0.936736, 1, 0, 0, 0.01]
    - [0.359387, -0.933189, 1, 0, 0, 0.01]
    - [0.368701, -0.929548, 1, 0, 0, 0.01]
    - [0.377978, -0.925815, 1, 0, 0, 0.01]
    - [0.387217, -0.921989, 1, 0, 0, 0.01]
    - [0.396417, -0.91807, 1, 0, 0, 0.01]
    - [0.405578, -0.91406, 1, 0, 0, 0.01]
    - [0.414698, -0.909959, 1, 0, 0, 0.01]
    - [0.423777, -0.905767, 1, 0, 0, 0.01]
    - [0.432813, -0.901484, 1, 0, 0, 0.01]
    - [0.441806, -0.897111, 1, 0, 0, 0.01]
    - [0.450755, -0.892648, 1, 0, 0, 0.01]
    - [0.459659, -0.888096, 1, 0, 0, 0.01]
    - [0.468517, -0.883455, 1, 0, 0, 0.01]
    - [0.477328, -0.878725, 1, 0, 0, 0.01]
    - [0.486091, -0.873908, 1, 0, 0, 0.01]
    - [0.494806, -0.869004, 1, 0, 0, 0.01]
    - [0.503471, -0.864012, 1, 0, 0, 0.01]
    - [0.512085, -0.858934, 1, 0, 0, 0.01]
    - [0.520649, -0.853771, 1, 0, 0, 0.01]
    - [0.529161, -0.848522, 1, 0, 0, 0.01]
    - [0.537619, -0.843188, 1, 0, 0, 0.01]
    - [0.546024, -0.837769, 1, 0, 0, 0.01]
    - [0.554374, -0.832267, 1, 0, 0, 0.01]
    - [0.562669, -0.826682, 1, 0, 0, 0.01]
    - [0.570908, -0.821014, 1, 0, 0, 0.01]
    - [0.579089, -0.815264, 1, 0, 0, 0.01]
    - [0.587213, -0.809433, 1, 0, 0, 0.01]
    - [0.595278, -0.80352, 1, 0, 0, 0.01]
    - [0.603283, -0.797527, 1, 0, 0, 0.01]
    - [0.611228, -0.791455, 1, 0, 0, 0.01]
    - [0.619112, -0.785303, 1, 0, 0, 0.01]
    - [0.626934, -0.779073, 1, 0, 0, 0.01]
    - [0.634693, -0.772764, 1, 0, 0, 0.01]
    - [0.642389, -0.766379, 1, 0, 0, 0.01]
    - [0.65002, -0.759917, 1, 0, 0, 0.01]
    - [0.657587, -0.753379, 1, 0, 0, 0.01]
    - [0.665088, -0.746765, 1, 0, 0, 0.01]
    - [0.672522, -0.740077, 1, 0, 0, 0.01]
    - [0.679889, -0.733315, 1, 0, 0, 0.01]
    - [0.687188, -0.72648, 1, 0, 0, 0.01]
    - [0.694418, -0.719572, 1, 0, 0, 0.01]
    - [0.701579, -0.712592, 1, 0, 0, 0.01]
    - [0.70867, -0.70554, 1, 0, 0, 0.01]
    - [0.71569, -0.698418, 1, 0, 0, 0.01]
    - [0.722638, -0.691227, 1, 0, 0, 0.01]
    - [0.729514, -0.683966, 1, 0, 0, 0.01]
    - [0.736317, -0.676637, 1, 0, 0, 0.01]
    - [0.743046, -0.66924, 1, 0, 0, 0.01]
    - [0.749702, -0.661776, 1, 0, 0, 0.01]
    - [0.756282, -0.654246, 1, 0, 0, 0.01]
    - [0.762786, -0.646651, 1, 0, 0, 0.01]
    - [0.769215, -0.638991, 1, 0, 0, 0.01]
    - [0.775566, -0.631267, 1, 0, 0, 0.01]
    - [0.78184, -0.62348, 1, 0, 0, 0.01]
    - [0.788035, -0.61563, 1, 0, 0, 0.01]
    - [0.794152, -0.607719, 1, 0, 0, 0.01]
    - [0.800189, -0.599747, 1, 0, 0, 0.01]
    - [0.806147, -0.591716, 1, 0, 0, 0.01]
    - [0.812024, -0.583625, 1, 0, 0, 0.01]
    - [0.817819, -0.575475, 1, 0, 0, 0.01]
    - [0.823533, -0.567269, 1, 0, 0, 0.01]
    - [0.829164, -0.559005, 1, 0, 0, 0.01]
    - [0.834713, -0.550686, 1, 0, 0, 0.01]
    - [0.840178, -0.542311, 1, 0, 0, 0.01]
    - [0.845559, -0.533882, 1, 0, 0, 0.01]
    - [0.850855, -0.5254, 1, 0, 0, 0.01]
    - [0.856067, -0.516865, 1, 0, 0, 0.01]
    - [0.861192, -0.508279, 1, 0, 0, 0.01]
    - [0.866232, -0.499642, 1, 0, 0, 0.01]
    - [0.871185, -0.490955, 1, 0, 0, 0.01]
    - [0.876051, -0.482218, 1, 0, 0, 0.01]
    - [0.880829, -0.473434, 1, 0, 0, 0.01]
    - [0.88552, -0.464602, 1, 0, 0, 0.01]
    - [0.890121, -0.455724, 1, 0, 0, 0.01]
    - [0.894634, -0.4468, 1, 0, 0, 0.01]
    - [0.899057, -0.437832, 1, 0, 0, 0.01]
    - [0.90339, -0.428819, 1, 0, 0, 0.01]
    - [0.907633, -0.419764, 1, 0, 0, 0.01]
    - [0.911785, -0.410667, 1, 0, 0, 0.01]
    - [0.915846, -0.401529, 1, 0, 0, 0.01]
    - [0.919816, -0.39235, 1, 0, 0, 0.01]
    - [0.923693, -0.383133, 1, 0, 0, 0.01]
    - [0.927478, -0.373877, 1, 0, 0, 0.01]
    - [0.931171, -0.364583, 1, 0, 0, 0.01]
    - [0.93477, -0.355254, 1, 0, 0, 0.01]
    - [0.938276, -0.345888, 1, 0, 0, 0.01]
    - [0.941688, -0.336488, 1, 0, 0, 0.01]
    - [0.945005, -0.327055, 1, 0, 0, 0.01]
    - [0.948229, -0.317589, 1, 0, 0, 0.01]
    - [0.951357, -0.308091, 1, 0, 0, 0.01]
    - [0.95439, -0.298562, 1, 0, 0, 0.01]
    - [0.957328, -0.289003, 1, 0, 0, 0.01]
    - [0.96017, -0.279415, 1, 0, 0, 0.01]
    - [0.962916, -0.2698, 1, 0, 0, 0.01]
    - [0.965566, -0.260157, 1, 0, 0, 0.01]
    - [0.968119, -0.250489, 1, 0, 0, 0.01]
    - [0.970576, -0.240795, 1, 0, 0, 0.01]
    - [0.972935, -0.231078, 1, 0, 0, 0.01]
    - [0.975197, -0.221337, 1, 0, 0, 0.01]
    - [0.977362, -0.211574, 1, 0, 0, 0.01]
    - [0.979429, -0.20179, 1, 0, 0, 0.01]
    - [0.981398, -0.191986, 1, 0, 0, 0.01]
    - [0.983268, -0.182163, 1, 0, 0, 0.01]
    - [0.985041, -0.172321, 1, 0, 0, 0.01]
    - [0.986715, -0.162462, 1, 0, 0, 0.01]
    - [0.98829, -0.152587, 1, 0, 0, 0.01]
    - [0.989766, -0.142697, 1, 0, 0, 0.01]
    - [0.991144, -0.132792, 1, 0, 0, 0.01]
    - [0.992422, -0.122874, 1, 0, 0, 0.01]
    - [0.993601, -0.112944, 1, 0, 0, 0.01]
    - [0.994681, -0.103002, 1, 0, 0, 0.01]
    - [0.995661, -0.0930505, 1, 0, 0, 0.01]
    - [0.996542, -0.0830894, 1, 0, 0, 0.01]
    - [0.997323, -0.07312, 1, 0, 0, 0.01]
    - [0.998004, -0.0631433, 1, 0, 0, 0.01]
    - [0.998586, -0.0531602, 1, 0, 0, 0.01]
    - [0.999068, -0.0431719, 1, 0, 0, 0.01]
    - [0.999449, -0.0331792, 1, 0, 0, 0.01]
    - [0.999731, -0.0231832, 1, 0, 0, 0.01]
    - [0.999913, -0.0131849, 1, 0, 0, 0.01]
    - [0.999995, -0.0031853, 1, 0, 0, 0.01]
    - [0.999977, 0.00681464, 1, 0, 0, 0.01]
    - [0.999859, 0.0168139, 1, 0, 0, 0.01]
    - [0.999641, 0.0268115, 1, 0, 0, 0.01]
    - [0.999322, 0.0368064, 1, 0, 0, 0.01]
    - [0.998904, 0.0467976, 1, 0, 0, 0.01]
    - [0.998386, 0.0567841, 1, 0, 0, 0.01]
    - [0.997769, 0.066765, 1, 0, 0, 0.01]
    - [0.997051, 0.0767392, 1, 0, 0, 0.01]
    - [0.996234, 0.0867057, 1, 0, 0, 0.01]
    - [0.995317, 0.0966635, 1, 0, 0, 0.01]
    - [0.994301, 0.106612, 1, 0, 0, 0.01]
    - [0.993185, 0.116549, 1, 0, 0, 0.01]
    - [0.99197, 0.126475, 1, 0, 0, 0.01]
    - [0.990655, 0.136388, 1, 0, 0, 0.01]
    - [0.989242, 0.146288, 1, 0, 0, 0.01]
    - [0.98773, 0.156173, 1, 0, 0, 0.01]
    - [0.986119, 0.166042, 1, 0, 0, 0.01]
    - [0.984409, 0.175895, 1, 0, 0, 0.01]
    - [0.982601, 0.18573, 1, 0, 0, 0.01]
    - [0.980694, 0.195547, 1, 0, 0, 0.01]
    - [0.97869, 0.205344, 1, 0, 0, 0.01]
    - [0.976588, 0.21512, 1, 0, 0, 0.01]
    - [0.974388, 0.224875, 1, 0, 0, 0.01]
    - [0.97209, 0.234607, 1, 0, 0, 0.01]
    - [0.969696, 0.244316, 1, 0, 0, 0.01]
    - [0.967204, 0.254001, 1, 0, 0, 0.01]
    - [0.964616, 0.26366, 1, 0, 0, 0.01]
    - [0.961931, 0.273293, 1, 0, 0, 0.01]
    - [0.95915, 0.282898, 1, 0, 0, 0.01]
    - [0.956273, 0.292476, 1, 0, 0, 0.01]
    - [0.9533, 0.302024, 1, 0, 0, 0.01]
    - [0.950233, 0.311541, 1, 0, 0, 0.01]
    - [0.94707, 0.321028, 1, 0, 0, 0.01]
    - [0.943812, 0.330482, 1, 0, 0, 0.01]
    - [0.94046, 0.339904, 1, 0, 0, 0.01]
    - [0.937014, 0.349291, 1, 0, 0, 0.01]
    - [0.933474, 0.358644, 1, 0, 0, 0.01]
    - [0.929841, 0.367961, 1, 0, 0, 0.01]
    - [0.926115, 0.37724, 1, 0, 0, 0.01]
    - [0.922297, 0.386483, 1, 0, 0, 0.01]
    - [0.918386, 0.395686, 1, 0, 0, 0.01]
    - [0.914383, 0.40485, 1, 0, 0, 0.01]
    - [0.910289, 0.413973, 1, 0, 0, 0.01]
    - [0.906104, 0.423055, 1, 0, 0, 0.01]
    - [0.901828, 0.432095, 1, 0, 0, 0.01]
    - [0.897462, 0.441092, 1, 0, 0, 0.01]
    - [0.893006, 0.450044, 1, 0, 0, 0.01]
    - [0.888461, 0.458951, 1, 0, 0, 0.01]
    - [0.883827, 0.467813, 1, 0, 0, 0.01]
    - [0.879105, 0.476628, 1, 0, 0, 0.01]
    - [0.874295, 0.485395, 1, 0, 0, 0.01]
    - [0.869397, 0.494113, 1, 0, 0, 0.01]
    - [0.864413, 0.502782, 1, 0, 0, 0.01]
    - [0.859342, 0.511401, 1, 0, 0, 0.01]
    - [0.854185, 0.519969, 1, 0, 0, 0.01]
    - [0.848943, 0.528485, 1, 0, 0, 0.01]
    - [0.843616, 0.536948, 1, 0, 0, 0.01]
    - [0.838204, 0.545357, 1, 0, 0, 0.01]
    - [0.832709, 0.553711, 1, 0, 0, 0.01]
    - [0.82713, 0.562011, 1, 0, 0, 0.01]
    - [0.821469, 0.570254, 1, 0, 0, 0.01]
    - [0.815725, 0.57844, 1, 0, 0, 0.01]
    - [0.8099, 0.586568, 1, 0, 0, 0.01]
    - [0.803994, 0.594637, 1, 0, 0, 0.01]
    - [0.798007, 0.602648, 1, 0, 0, 0.01]
    - [0.791941, 0.610597, 1, 0, 0, 0.01]
    - [0.785796, 0.618486, 1, 0, 0, 0.01]
    - [0.779572, 0.626313, 1, 0, 0, 0.01]
    - [0.77327, 0.634077, 1, 0, 0, 0.01]
    - [0.76689, 0.641778, 1, 0, 0, 0.01]
    - [0.760434, 0.649415, 1, 0, 0, 0.01]
    - [0.753902, 0.656987, 1, 0, 0, 0.01]
    - [0.747295, 0.664493, 1, 0, 0, 0.01]
    - [0.740613, 0.671932, 1, 0, 0, 0.01]
    - [0.733856, 0.679305, 1, 0, 0, 0.01]
    - [0.727027, 0.686609, 1, 0, 0, 0.01]
    - [0.720124, 0.693845, 1, 0, 0, 0.01]
    - [0.71315, 0.701011, 1, 0, 0, 0.01]
    - [0.706104, 0.708108, 1, 0, 0, 0.01]
    - [0.698988, 0.715133, 1, 0, 0, 0.01]
    - [0.691802, 0.722087, 1, 0, 0, 0.01]
    - [0.684547, 0.728969, 1, 0, 0, 0.01]
    - [0.677223, 0.735778, 1, 0, 0, 0.01]
    - [0.669831, 0.742513, 1, 0, 0, 0.01]
    - [0.662373, 0.749174, 1, 0, 0, 0.01]
    - [0.654848, 0.755761, 1, 0, 0, 0.01]
    - [0.647258, 0.762271, 1, 0, 0, 0.01]
    - [0.639603, 0.768705, 1, 0, 0, 0.01]
    - [0.631884, 0.775063, 1, 0, 0, 0.01]
    - [0.624102, 0.781343, 1, 0, 0, 0.01]
    - [0.616257, 0.787545, 1, 0, 0, 0.01]
    - [0.608351, 0.793668, 1, 0, 0, 0.01]
    - [0.600384, 0.799712, 1, 0, 0, 0.01]
    - [0.592357, 0.805675, 1, 0, 0, 0.01]
    - [0.584271, 0.811559, 1, 0, 0, 0.01]
    - [0.576126, 0.817361, 1, 0, 0, 0.01]
    - [0.567924, 0.823081, 1, 0, 0, 0.01]
    - [0.559665, 0.828719, 1, 0, 0, 0.01]
    - [0.55135, 0.834274, 1, 0, 0, 0.01]
    - [0.54298, 0.839746, 1, 0, 0, 0.01]
    - [0.534555, 0.845133, 1, 0, 0, 0.01]
    - [0.526078, 0.850437, 1, 0, 0, 0.01]
    - [0.517547, 0.855655, 1, 0, 0, 0.01]
    - [0.508965, 0.860787, 1, 0, 0, 0.01]
    - [0.500332, 0.865834, 1, 0, 0, 0.01]
    - [0.491648, 0.870794, 1, 0, 0, 0.01]
    - [0.482916, 0.875667, 1, 0, 0, 0.01]
    - [0.474135, 0.880452, 1, 0, 0, 0.01]
    - [0.465307, 0.885149, 1, 0, 0, 0.01]
    - [0.456433, 0.889758, 1, 0, 0, 0.01]
    - [0.447512, 0.894278, 1, 0, 0, 0.01]
    - [0.438547, 0.898708, 1, 0, 0, 0.01]
    - [0.429538, 0.903049, 1, 0, 0, 0.01]
    - [0.420487, 0.907299, 1, 0, 0, 0.01]
    - [0.411393, 0.911458, 1, 0, 0, 0.01]
    - [0.402258, 0.915526, 1, 0, 0, 0.01]
    - [0.393083, 0.919503, 1, 0, 0, 0.01]
    - [0.383868, 0.923388, 1, 0, 0, 0.01]
    - [0.374615, 0.92718, 1, 0, 0, 0.01]
    - [0.365325, 0.93088, 1, 0, 0, 0.01]
    - [0.355998, 0.934487, 1, 0, 0, 0.01]
    - [0.346635, 0.938, 1, 0, 0, 0.01]
    - [0.337238, 0.941419, 1, 0, 0, 0.01]
    - [0.327807, 0.944745, 1, 0, 0, 0.01]
    - [0.318344, 0.947975, 1, 0, 0, 0.01]
    - [0.308848, 0.951111, 1, 0, 0, 0.01]
    - [0.299322, 0.954152, 1, 0, 0, 0.01]
    - [0.289765, 0.957098, 1, 0, 0, 0.01]
    - [0.28018, 0.959947, 1, 0, 0, 0.01]
    - [0.270567, 0.962701, 1, 0, 0, 0.01]
    - [0.260926, 0.965359, 1, 0, 0, 0.01]
    - [0.25126, 0.96792, 1, 0, 0, 0.01]
    - [0.241568, 0.970384, 1, 0, 0, 0.01]
    - [0.231852, 0.972751, 1, 0, 0, 0.01]
    - [0.222114, 0.975021, 1, 0, 0, 0.01]
    - [0.212352, 0.977193, 1, 0, 0, 0.01]
    - [0.20257, 0.979268, 1, 0, 0, 0.01]
    - [0.192767, 0.981244, 1, 0, 0, 0.01]
    - [0.182945, 0.983123, 1, 0, 0, 0.01]
    - [0.173105, 0.984903, 1, 0, 0, 0.01]
    - [0.163248, 0.986585, 1, 0, 0, 0.01]
    - [0.153374, 0.988168, 1, 0, 0, 0.01]
    - [0.143485, 0.989653, 1, 0, 0, 0.01]
    - [0.133581, 0.991038, 1, 0, 0, 0.01]
    - [0.123664, 0.992324, 1, 0, 0, 0.01]
    - [0.113735, 0.993511, 1, 0, 0, 0.01]
    - [0.103794, 0.994599, 1, 0, 0, 0.01]
    - [0.0938433, 0.995587, 1, 0, 0, 0.01]
    - [0.0838829, 0.996476, 1, 0, 0, 0.01]
    - [0.0739142, 0.997265, 1, 0, 0, 0.01]
    - [0.063938, 0.997954, 1, 0, 0, 0.01]
    - [0.0539554, 0.998543, 1, 0, 0, 0.01]
    - [0.0439675, 0.999033, 1, 0, 0, 0.01]
    - [0.0339751, 0.999423, 1, 0, 0, 0.01]
    - [0.0239793, 0.999712, 1, 0, 0, 0.01]
    - [0.0139812, 0.999902, 1, 0, 0, 0.01]
    - [0.00398162, 0.999992, 1, 0, 0, 0.01]
    - [-0.00601833, 0.999982, 1, 0, 0, 0.01]
    - [-0.0160177, 0.999872, 1, 0, 0, 0.01]
    - [-0.0260154, 0.999662, 1, 0, 0, 0.01]
    - [-0.0360106, 0.999351, 1, 0, 0, 0.01]
    - [-0.0460021, 0.998941, 1, 0, 0, 0.01]
    - [-0.0559891, 0.998431, 1, 0, 0, 0.01]
    - [-0.0659704, 0.997822, 1, 0, 0, 0.01]
    - [-0.0759452, 0.997112, 1, 0, 0, 0.01]
    - [-0.0859123, 0.996303, 1, 0, 0, 0.01]
    - [-0.0958709, 0.995394, 1, 0, 0, 0.01]
    - [-0.10582, 0.994385, 1, 0, 0, 0.01]
    - [-0.115758, 0.993277, 1, 0, 0, 0.01]
    - [-0.125685, 0.99207, 1, 0, 0, 0.01]
    - [-0.135599, 0.990764, 1, 0, 0, 0.01]
    - [-0.1455, 0.989358, 1, 0, 0, 0.01]
    - [-0.155386, 0.987854, 1, 0, 0, 0.01]
    - [-0.165257, 0.986251, 1, 0, 0, 0.01]
    - [-0.175111, 0.984549, 1, 0, 0, 0.01]
    - [-0.184947, 0.982748, 1, 0, 0, 0.01]
    - [-0.194765, 0.98085, 1, 0, 0, 0.01]
    - [-0.204564, 0.978853, 1, 0, 0, 0.01]
    - [-0.214342, 0.976759, 1, 0, 0, 0.01]
    - [-0.224099, 0.974566, 1, 0, 0, 0.01]
    - [-0.233833, 0.972277, 1, 0, 0, 0.01]
    - [-0.243544, 0.96989, 1, 0, 0, 0.01]
    - [-0.253231, 0.967406, 1, 0, 0, 0.01]
    - [-0.262892, 0.964825, 1, 0, 0, 0.01]
    - [-0.272527, 0.962148, 1, 0, 0, 0.01]
    - [-0.282135, 0.959375, 1, 0, 0, 0.01]
    - [-0.291714, 0.956506, 1, 0, 0, 0.01]
    - [-0.301264, 0.953541, 1, 0, 0, 0.01]
    - [-0.310785, 0.95048, 1, 0, 0, 0.01]
    - [-0.320274, 0.947325, 1, 0, 0, 0.01]
    - [-0.329731, 0.944075, 1, 0, 0, 0.01]
    - [-0.339155, 0.940731, 1, 0, 0, 0.01]
    - [-0.348545, 0.937292, 1, 0, 0, 0.01]
    - [-0.3579, 0.93376, 1, 0, 0, 0.01]
    - [-0.36722, 0.930134, 1, 0, 0, 0.01]
    - [-0.376503, 0.926415, 1, 0, 0, 0.01]
    - [-0.385748, 0.922604, 1, 0, 0, 0.01]
    - [-0.394955, 0.918701, 1, 0, 0, 0.01]
    - [-0.404122, 0.914705, 1, 0, 0, 0.01]
    - [-0.413248, 0.910618, 1, 0, 0, 0.01]
    - [-0.422334, 0.90644, 1, 0, 0, 0.01]
    - [-0.431377, 0.902172, 1, 0, 0, 0.01]
    - [-0.440377, 0.897813, 1, 0, 0, 0.01]
    - [-0.449333, 0.893364, 1, 0, 0, 0.01]
    - [-0.458244, 0.888827, 1, 0, 0, 0.01]
    - [-0.467109, 0.8842, 1, 0, 0, 0.01]
    - [-0.475928, 0.879484, 1, 0, 0, 0.01]
    - [-0.484698, 0.874681, 1, 0, 0, 0.01]
    - [-0.493421, 0.869791, 1, 0, 0, 0.01]
    - [-0.502094, 0.864813, 1, 0, 0, 0.01]
    - [-0.510717, 0.859749, 1, 0, 0, 0.01]
    - [-0.519289, 0.854599, 1, 0, 0, 0.01]
    - [-0.527809, 0.849363, 1, 0, 0, 0.01]
    - [-0.536276, 0.844043, 1, 0, 0, 0.01]
    - [-0.544689, 0.838638, 1, 0, 0, 0.01]
    - [-0.553048, 0.833149, 1, 0, 0, 0.01]
    - [-0.561352, 0.827577, 1, 0, 0, 0.01]
    - [-0.569599, 0.821922, 1, 0, 0, 0.01]
    - [-0.57779, 0.816185, 1, 0, 0, 0.01]
    - [-0.585923, 0.810367, 1, 0, 0, 0.01]
    - [-0.593997, 0.804467, 1, 0, 0, 0.01]
    - [-0.602012, 0.798487, 1, 0, 0, 0.01]
    - [-0.609967, 0.792427, 1, 0, 0, 0.01]
    - [-0.61786, 0.786288, 1, 0, 0, 0.01]
    - [-0.625692, 0.78007, 1, 0, 0, 0.01]
    - [-0.633461, 0.773774, 1, 0, 0, 0.01]
    - [-0.641167, 0.767401, 1, 0, 0, 0.01]
    - [-0.648809, 0.760951, 1, 0, 0, 0.01]
    - [-0.656386, 0.754425, 1, 0, 0, 0.01]
    - [-0.663897, 0.747824, 1, 0, 0, 0.01]
    - [-0.671342, 0.741147, 1, 0, 0, 0.01]
    - [-0.67872, 0.734397, 1, 0, 0, 0.01]
    - [-0.68603, 0.727573, 1, 0, 0, 0.01]
    - [-0.693271, 0.720677, 1, 0, 0, 0.01]
    - [-0.700443, 0.713708, 1, 0, 0, 0.01]
    - [-0.707545, 0.706668, 1, 0, 0, 0.01]
    - [-0.714576, 0.699557, 1, 0, 0, 0.01]
    - [-0.721536, 0.692377, 1, 0, 0, 0.01]
    - [-0.728424, 0.685127, 1, 0, 0, 0.01]
    - [-0.735238, 0.677809, 1, 0, 0, 0.01]
    - [-0.74198, 0.670422, 1, 0, 0, 0.01]
    - [-0.748647, 0.662969, 1, 0, 0, 0.01]
    - [-0.755239, 0.65545, 1, 0, 0, 0.01]
    - [-0.761755, 0.647865, 1, 0, 0, 0.01]
    - [-0.768196, 0.640215, 1, 0, 0, 0.01]
    - [-0.77456, 0.632501, 1, 0, 0, 0.01]
    - [-0.780846, 0.624724, 1, 0, 0, 0.01]
    - [-0.787054, 0.616884, 1, 0, 0, 0.01]
    - [-0.793183, 0.608983, 1, 0, 0, 0.01]
    - [-0.799233, 0.601021, 1, 0, 0, 0.01]
    - [-0.805203, 0.592999, 1, 0, 0, 0.01]
    - [-0.811093, 0.584917, 1, 0, 0, 0.01]
    - [-0.816902, 0.576777, 1, 0, 0, 0.01]
    - [-0.822628, 0.568579, 1, 0, 0, 0.01]
    - [-0.828273, 0.560325, 1, 0, 0, 0.01]
    - [-0.833835, 0.552014, 1, 0, 0, 0.01]
    - [-0.839313, 0.543648, 1, 0, 0, 0.01]
    - [-0.844707, 0.535228, 1, 0, 0, 0.01]
    - [-0.850017, 0.526755, 1, 0, 0, 0.01]
    - [-0.855242, 0.518228, 1, 0, 0, 0.01]
    - [-0.860382, 0.50965, 1, 0, 0, 0.01]
    - [-0.865435, 0.501021, 1, 0, 0, 0.01]
    - [-0.870402, 0.492342, 1, 0, 0, 0.01]
    - [-0.875282, 0.483613, 1, 0, 0, 0.01]
    - [-0.880074, 0.474836, 1, 0, 0, 0.01]
    - [-0.884778, 0.466012, 1, 0, 0, 0.01]
    - [-0.889394, 0.457141, 1, 0, 0, 0.01]
    - [-0.893921, 0.448224, 1, 0, 0, 0.01]
    - [-0.898359, 0.439263, 1, 0, 0, 0.01]
    - [-0.902706, 0.430257, 1, 0, 0, 0.01]
    - [-0.906964, 0.421209, 1, 0, 0, 0.01]
    - [-0.91113, 0.412118, 1, 0, 0, 0.01]
    - [-0.915206, 0.402987, 1, 0, 0, 0.01]
    - [-0.91919, 0.393815, 1, 0, 0, 0.01]
    - [-0.923082, 0.384603, 1, 0, 0, 0.01]
    - [-0.926882, 0.375353, 1, 0, 0, 0.01]
    - [-0.930589, 0.366066, 1, 0, 0, 0.01]
    - [-0.934203, 0.356742, 1, 0, 0, 0.01]
    - [-0.937724, 0.347382, 1, 0, 0, 0.01]
    - [-0.941151, 0.337988, 1, 0, 0, 0.01]
    - [-0.944483, 0.328559, 1, 0, 0, 0.01]
    - [-0.947722, 0.319098, 1, 0, 0, 0.01]
    - [-0.950865, 0.309605, 1, 0, 0, 0.01]
    - [-0.953914, 0.300081, 1, 0, 0, 0.01]
    - [-0.956867, 0.290527, 1, 0, 0, 0.01]
    - [-0.959724, 0.280944, 1, 0, 0, 0.01]
    - [-0.962485, 0.271333, 1, 0, 0, 0.01]
    - [-0.965151, 0.261695, 1, 0, 0, 0.01]
    - [-0.967719, 0.252031, 1, 0, 0, 0.01]
    - [-0.970191, 0.242341, 1, 0, 0, 0.01]
    - [-0.972566, 0.232627, 1, 0, 0, 0.01]
    - [-0.974844, 0.22289, 1, 0, 0, 0.01]
    - [-0.977024, 0.21313, 1, 0, 0, 0.01]
    - [-0.979106, 0.20335, 1, 0, 0, 0.01]
    - [-0.981091, 0.193549, 1, 0, 0, 0.01]
    - [-0.982977, 0.183728, 1, 0, 0, 0.01]
    - [-0.984765, 0.173889, 1, 0, 0, 0.01]
    - [-0.986455, 0.164033, 1, 0, 0, 0.01]
    - [-0.988046, 0.154161, 1, 0, 0, 0.01]
    - [-0.989538, 0.144273, 1, 0, 0, 0.01]
    - [-0.990931, 0.13437, 1, 0, 0, 0.01]
    - [-0.992225, 0.124454, 1, 0, 0, 0.01]
    - [-0.99342, 0.114526, 1, 0, 0, 0.01]
    - [-0.994516, 0.104586, 1, 0, 0, 0.01]
    - [-0.995512, 0.0946361, 1, 0, 0, 0.01]
    - [-0.996409, 0.0846764, 1, 0, 0, 0.01]
    - [-0.997205, 0.0747083, 1, 0, 0, 0.01]
    - [-0.997903, 0.0647327, 1, 0, 0, 0.01]
    - [-0.9985, 0.0547506, 1, 0, 0, 0.01]
    - [-0.998998, 0.044763, 1, 0, 0, 0.01]
